,Outdoor PC(0.1),Outdoor PC(0.3),Outdoor PC(0.5),Outdoor PC(1.0),Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(0.1),Outdoor PM(0.3),Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PM(2.5),Outdoor PM(5.0),Outdoor PM(10.0),Outdoor Pressure,Outdoor Temperature,Outdoor Humidity,Outdoor Dew Point,Outdoor Wind Direction,Outdoor Wind Speed,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,SolarZenithAngle
410nm,0.002872807490053337,0.0019508722240529953,-0.0002886098616273718,-0.0008339827996975273,-0.001161510957464871,-0.0010868513128726982,-5.783770561564654e-05,0.002872807448903074,0.002029685386345248,0.0004443409402095762,2.343173560096119e-05,-0.00018627077479791722,-0.00024924488386057585,-0.0002494332339799475,-0.00013912863249026136,0.007733272325901694,-0.005624268675347678,0.004603449478663309,-0.003421239114761231,-0.0036482571492984753,1.0,0.1138279313130451,0.11318644469444232,0.11382793131305065,0.11333990717777256,0.08254020648606288,0.11333990717813915,0.0544187965753547,0.11382793131316085,0.06865008786074257,0.0698857970091789,0.08259984262721629,0.11382793131297902,0.11382793131302009,0.11382793131298213,0.11344050569603395,0.11382793131251073,0.11382793131241908,0.004396713255631894
435nm,0.008721612349656798,0.0026558376228671093,-0.00894969363493331,-0.012948902841421448,-0.013290349893969561,-0.010041688423954887,-0.0005082099345702911,0.00872161256548824,0.003170943203263466,-0.005170534703219021,-0.00782106459302888,-0.009011094606688993,-0.009263448328393913,-0.009261124863674386,-0.01126210586917708,0.04235875415514971,-0.025808761129032597,0.029417581316654343,-0.04299600051907802,-0.011139447781477272,0.1138279313130451,1.0,0.9943642657183934,1.0000000000000204,0.9957124918250507,0.7251264930609599,0.9957124918314776,0.47806592042952234,0.9999999999999937,0.6030950253280559,0.6139519586347728,0.7256504257172705,0.9999999999999751,1.0000000000000382,1.0000000000000644,0.9965962935587711,0.9999999999999659,0.9999999999999779,-0.033139001052294594
460nm,0.008923524575474573,0.0028602663016327693,-0.008836370495665605,-0.01272764062148175,-0.013154972625782892,-0.010062104287697578,-0.0005111535533859175,0.008923524681238101,0.003375227565271883,-0.0050275668781884315,-0.007650384893982556,-0.008841910751877707,-0.009103202884204265,-0.009100986271200843,-0.011332197263945897,0.04279342071480982,-0.026065873848669305,0.02972708169469515,-0.04318659816638011,-0.010969496916498744,0.11318644469444232,0.9943642657183934,1.0,0.9943642653965745,0.9986459679014857,0.7293284352440785,0.9986459677449503,0.48083623830042366,0.9943642654309485,0.6065129670056622,0.6175097123626582,0.7278774926497587,0.994364265078874,0.9943642654055906,0.9943642654468424,0.9977603491943089,0.9943642642610859,0.9943642639583458,-0.032618330408904994
485nm,0.008721611165322165,0.0026558365866964618,-0.00894969449557006,-0.012948903661922397,-0.013290350466082294,-0.010041688816310347,-0.0005082099355295955,0.008721611381154001,0.0031709421541835535,-0.00517053562971862,-0.007821065494728673,-0.009011095475062443,-0.00926344918343197,-0.009261125718258406,-0.011262105817283114,0.042358752903923755,-0.0258087604223426,0.029417580313959257,-0.042995998086647565,-0.011139447375594344,0.11382793131305065,1.0000000000000204,0.9943642653965745,1.0,0.9957124915454165,0.7251264729217304,0.9957124915518751,0.47806591490034667,1.000000000000018,0.6030950358058762,0.6139519353835797,0.7256504055946726,0.9999999999999906,1.000000000000018,1.0000000000000315,0.9965962932890654,0.9999999999999636,0.9999999999999348,-0.03313899988426234
510nm,0.008960216575430514,0.002896331728967309,-0.008803272862781607,-0.012697999882191884,-0.013134724446782153,-0.010046429289723562,-0.0005104617548019414,0.008960216690834629,0.0034113582459878947,-0.004993272415623197,-0.007617251688556062,-0.00881014763732351,-0.009071935692168144,-0.009069732736086272,-0.011267713891419338,0.042750991476489565,-0.026046218912845556,0.029687135029839648,-0.04314321448998256,-0.011076617626093738,0.11333990717777256,0.9957124918250507,0.9986459679014857,0.9957124915454165,1.0,0.7283410950163677,0.999999999999971,0.4801852725053889,0.9957124915715552,0.6056917125000413,0.6166737086503861,0.7288673503430034,0.9957124912550425,0.9957124915009469,0.9957124916320251,0.9991131798746282,0.9957124906268046,0.9957124903727101,-0.032730815505618106
535nm,0.009146050222739985,0.0010802947649997516,-0.013733712466362655,-0.01839769135276511,-0.01816302226464463,-0.013891583510897015,-0.000700877232170259,0.009146050070718233,0.0017644134895858042,-0.00891774652300658,-0.012177795560036633,-0.013580256675142618,-0.01387044236027118,-0.013866622084299054,-0.01633454771379896,0.05428224908880449,-0.02403383696728396,0.04371136700514636,-0.05803950828149398,-0.018656032124000417,0.08254020648606288,0.7251264930609599,0.7293284352440785,0.7251264729217304,0.7283410950163677,1.0,0.7283410623750881,0.6592860905949778,0.7251264741279344,0.44118731028610475,0.8466825094872511,0.9992779816185918,0.7251264608909591,0.7251264965880884,0.7251264806418628,0.7276030821372456,0.7251264408543049,0.7251264260944447,-0.050511696096976255
560nm,0.00896021950601162,0.0028963350410786196,-0.008803269180876728,-0.012697996122488207,-0.013134721236197466,-0.010046426883498986,-0.0005104617506900931,0.008960219621415726,0.0034113615268719817,-0.0049932688346862285,-0.007617248007394995,-0.00881014393724717,-0.009071932008195902,-0.009069729053765649,-0.011267706408567202,0.04275099033152589,-0.026046218387867533,0.029687133829500258,-0.04314321387231777,-0.011076617139582738,0.11333990717813915,0.9957124918314776,0.9986459677449503,0.9957124915518751,0.999999999999971,0.7283410623750881,1.0,0.4801852006288327,0.9957124915778889,0.6056916707126733,0.6166736571230934,0.7288673177925943,0.9957124912613806,0.9957124915073623,0.9957124916383816,0.9991131798810275,0.9957124906332575,0.9957124903791836,-0.03273080775504612
585nm,0.021043014795026266,0.013927499227433297,0.0013133126010148983,-0.005675059968933359,-0.011788596431061555,-0.011461237541666745,-0.0010648189944981593,0.021043014549348017,0.014535394067142741,0.005514635707476426,0.0018487423362524029,-0.0005227213122316237,-0.001231201468899313,-0.0012364857386018145,-0.061068928459232744,0.05489096229447741,-0.008754065645805786,0.05463746949482991,-0.06048512163268485,0.016374285482126705,0.0544187965753547,0.47806592042952234,0.48083623830042366,0.47806591490034667,0.4801852725053889,0.6592860905949778,0.4801852006288327,1.0,0.47806593762010235,0.7927198094842308,0.5572730823280855,0.6588100237182006,0.47806589378482667,0.47806592082715643,0.4780659075502632,0.479698715347508,0.4780658024139458,0.4780657799238102,-0.05798753611270578
610nm,0.008721609893695779,0.002655835306768753,-0.008949695561963596,-0.012948904582069619,-0.013290351285197073,-0.010041689499975618,-0.0005082100387088606,0.008721610109527237,0.0031709408745281605,-0.005170536771306219,-0.007821066575492629,-0.009011096539539755,-0.009263450241897309,-0.009261126776658631,-0.011262110876102462,0.042358752441096714,-0.02580875746908079,0.02941758134622796,-0.04299599832442841,-0.011139445549767724,0.11382793131316085,0.9999999999999937,0.9943642654309485,1.000000000000018,0.9957124915715552,0.7251264741279344,0.9957124915778889,0.47806593762010235,1.0,0.6030950614340065,0.6139519461823829,0.7256504067956084,1.000000000000001,1.0000000000000056,1.000000000000004,0.9965962933255935,0.9999999999999446,0.999999999999904,-0.033139001727161034
645nm,0.0009918134031121331,-0.003475557978002692,-0.010301699463490629,-0.014633747964959603,-0.01532980101781778,-0.01281919373572869,-0.0008444984058039201,0.0009918133396699931,-0.00309801728191926,-0.008091044079578731,-0.010362991832626876,-0.011532895510594613,-0.011827408675127367,-0.011825539558915257,-0.04875751032708159,0.0396255421839828,-0.009398128318581903,0.03759706822706634,-0.0406857209867706,0.014330635475443554,0.06865008786074257,0.6030950253280559,0.6065129670056622,0.6030950358058762,0.6056917125000413,0.44118731028610475,0.6056916707126733,0.7927198094842308,0.6030950614340065,1.0,0.37271707854325387,0.440306422921572,0.6030950260461003,0.6030950280074764,0.6030950245387104,0.6051548047641936,0.6030949513832748,0.6030949393528776,-0.02943645199612995
